episodes,rewards,steps
1044,128.0,128
1045,200.0,200
1046,200.0,200
1047,200.0,200
1048,200.0,200
1049,200.0,200
1050,187.0,187
1051,38.0,38
1052,60.0,60
1053,200.0,200
1054,188.0,188
1055,147.0,147
1056,129.0,129
1057,135.0,135
1058,200.0,200
1059,162.0,162
1060,122.0,122
1061,111.0,111
1062,76.0,76
1063,200.0,200
1064,155.0,155
1065,149.0,149
1066,155.0,155
1067,91.0,91
1068,192.0,192
1069,83.0,83
1070,51.0,51
1071,177.0,177
1072,21.0,21
1073,159.0,159
1074,75.0,75
1075,77.0,77
1076,66.0,66
1077,55.0,55
1078,169.0,169
1079,111.0,111
1080,184.0,184
1081,200.0,200
1082,171.0,171
1083,26.0,26
1084,61.0,61
1085,41.0,41
1086,45.0,45
1087,59.0,59
1088,125.0,125
1089,51.0,51
1090,118.0,118
1091,113.0,113
1092,53.0,53
1093,108.0,108
1094,40.0,40
1095,28.0,28
1096,76.0,76
1097,200.0,200
1098,59.0,59
1099,121.0,121
1100,44.0,44
1101,142.0,142
1102,200.0,200
1103,80.0,80
1104,77.0,77
1105,92.0,92
1106,32.0,32
1107,147.0,147
1108,44.0,44
1109,67.0,67
1110,127.0,127
1111,26.0,26
1112,28.0,28
1113,97.0,97
1114,200.0,200
1115,122.0,122
1116,138.0,138
1117,30.0,30
1118,138.0,138
1119,28.0,28
1120,30.0,30
1121,151.0,151
1122,56.0,56
1123,112.0,112
1124,164.0,164
1125,130.0,130
1126,55.0,55
1127,29.0,29
1128,100.0,100
1129,66.0,66
1130,116.0,116
1131,44.0,44
1132,28.0,28
1133,128.0,128
1134,24.0,24
1135,109.0,109
1136,57.0,57
1137,118.0,118
1138,40.0,40
1139,125.0,125
1140,77.0,77
1141,108.0,108
1142,99.0,99
1143,100.0,100
1144,168.0,168
1145,97.0,97
1146,45.0,45
1147,184.0,184
1148,28.0,28
1149,164.0,164
1150,44.0,44
1151,200.0,200
1152,107.0,107
1153,33.0,33
1154,200.0,200
1155,169.0,169
1156,31.0,31
1157,146.0,146
1158,93.0,93
1159,53.0,53
1160,200.0,200
1161,163.0,163
1162,46.0,46
1163,150.0,150
1164,74.0,74
1165,136.0,136
1166,144.0,144
1167,196.0,196
1168,50.0,50
1169,172.0,172
1170,138.0,138
1171,136.0,136
1172,160.0,160
1173,174.0,174
1174,44.0,44
1175,125.0,125
1176,200.0,200
1177,48.0,48
1178,158.0,158
1179,159.0,159
1180,141.0,141
1181,114.0,114
1182,33.0,33
1183,157.0,157
1184,78.0,78
1185,26.0,26
1186,200.0,200
1187,157.0,157
1188,140.0,140
1189,113.0,113
1190,110.0,110
1191,200.0,200
1192,73.0,73
1193,65.0,65
1194,200.0,200
1195,151.0,151
1196,188.0,188
1197,179.0,179
1198,96.0,96
1199,104.0,104
1200,174.0,174
1201,200.0,200
1202,200.0,200
1203,200.0,200
1204,58.0,58
1205,29.0,29
1206,200.0,200
1207,198.0,198
1208,102.0,102
1209,200.0,200
1210,193.0,193
1211,200.0,200
1212,98.0,98
1213,200.0,200
1214,200.0,200
1215,200.0,200
1216,151.0,151
1217,200.0,200
1218,200.0,200
1219,162.0,162
1220,200.0,200
1221,200.0,200
1222,196.0,196
1223,199.0,199
1224,200.0,200
1225,200.0,200
1226,200.0,200
1227,121.0,121
1228,48.0,48
1229,102.0,102
1230,194.0,194
1231,85.0,85
1232,200.0,200
1233,145.0,145
1234,94.0,94
1235,200.0,200
1236,200.0,200
1237,200.0,200
1238,200.0,200
1239,200.0,200
1240,199.0,199
1241,144.0,144
1242,200.0,200
1243,171.0,171
1244,165.0,165
1245,200.0,200
1246,193.0,193
1247,200.0,200
1248,200.0,200
1249,200.0,200
1250,104.0,104
1251,92.0,92
1252,200.0,200
1253,200.0,200
1254,200.0,200
1255,86.0,86
1256,188.0,188
1257,132.0,132
1258,200.0,200
1259,148.0,148
1260,65.0,65
1261,200.0,200
1262,200.0,200
1263,200.0,200
1264,200.0,200
1265,200.0,200
1266,200.0,200
1267,200.0,200
1268,200.0,200
1269,200.0,200
1270,200.0,200
1271,138.0,138
1272,158.0,158
1273,150.0,150
1274,200.0,200
1275,198.0,198
1276,200.0,200
1277,200.0,200
1278,133.0,133
1279,200.0,200
1280,200.0,200
1281,131.0,131
1282,200.0,200
1283,188.0,188
1284,131.0,131
1285,155.0,155
1286,198.0,198
1287,200.0,200
1288,184.0,184
1289,200.0,200
1290,106.0,106
1291,144.0,144
1292,179.0,179
1293,36.0,36
1294,200.0,200
1295,200.0,200
1296,200.0,200
1297,200.0,200
1298,176.0,176
1299,27.0,27
1300,200.0,200
1301,190.0,190
1302,122.0,122
1303,189.0,189
1304,139.0,139
1305,131.0,131
1306,105.0,105
1307,147.0,147
1308,200.0,200
1309,160.0,160
1310,200.0,200
1311,27.0,27
1312,39.0,39
1313,200.0,200
1314,200.0,200
1315,200.0,200
1316,77.0,77
1317,200.0,200
1318,161.0,161
1319,84.0,84
1320,112.0,112
1321,179.0,179
1322,162.0,162
1323,154.0,154
1324,200.0,200
1325,167.0,167
1326,190.0,190
1327,200.0,200
1328,159.0,159
1329,200.0,200
1330,128.0,128
1331,200.0,200
1332,190.0,190
1333,147.0,147
1334,200.0,200
1335,200.0,200
1336,200.0,200
1337,200.0,200
1338,200.0,200
1339,141.0,141
1340,147.0,147
1341,78.0,78
1342,88.0,88
1343,199.0,199
1344,200.0,200
1345,74.0,74
1346,200.0,200
