2022-10-30 01:21:01 - r - INFO: - n_states: 4, n_actions: 2
2022-10-30 01:21:01 - r - INFO: - Start training!
2022-10-30 01:21:01 - r - INFO: - Env: CartPole-v1, Algorithm: A2C, Device: cuda
2022-10-30 01:21:10 - r - INFO: - Episode: 171/1600, Reward: 15.00, Steps:15
2022-10-30 01:21:10 - r - INFO: - Episode: 172/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:10 - r - INFO: - Episode: 173/1600, Reward: 70.00, Steps:70
2022-10-30 01:21:10 - r - INFO: - Episode: 174/1600, Reward: 69.00, Steps:69
2022-10-30 01:21:10 - r - INFO: - Episode: 175/1600, Reward: 10.00, Steps:10
2022-10-30 01:21:10 - r - INFO: - Episode: 176/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:10 - r - INFO: - Episode: 177/1600, Reward: 39.00, Steps:39
2022-10-30 01:21:10 - r - INFO: - Episode: 178/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:10 - r - INFO: - Episode: 179/1600, Reward: 33.00, Steps:33
2022-10-30 01:21:10 - r - INFO: - Episode: 180/1600, Reward: 25.00, Steps:25
2022-10-30 01:21:10 - r - INFO: - Episode: 181/1600, Reward: 29.00, Steps:29
2022-10-30 01:21:10 - r - INFO: - Episode: 182/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:11 - r - INFO: - Episode: 183/1600, Reward: 67.00, Steps:67
2022-10-30 01:21:11 - r - INFO: - Episode: 184/1600, Reward: 36.00, Steps:36
2022-10-30 01:21:11 - r - INFO: - Episode: 185/1600, Reward: 45.00, Steps:45
2022-10-30 01:21:11 - r - INFO: - Episode: 186/1600, Reward: 46.00, Steps:46
2022-10-30 01:21:11 - r - INFO: - Episode: 187/1600, Reward: 44.00, Steps:44
2022-10-30 01:21:11 - r - INFO: - Episode: 188/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:11 - r - INFO: - Episode: 189/1600, Reward: 52.00, Steps:52
2022-10-30 01:21:11 - r - INFO: - Episode: 190/1600, Reward: 15.00, Steps:15
2022-10-30 01:21:11 - r - INFO: - Episode: 191/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:11 - r - INFO: - Episode: 192/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:11 - r - INFO: - Episode: 193/1600, Reward: 17.00, Steps:17
2022-10-30 01:21:11 - r - INFO: - Episode: 194/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:11 - r - INFO: - Episode: 195/1600, Reward: 58.00, Steps:58
2022-10-30 01:21:11 - r - INFO: - Episode: 196/1600, Reward: 25.00, Steps:25
2022-10-30 01:21:11 - r - INFO: - Episode: 197/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:11 - r - INFO: - Episode: 198/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:11 - r - INFO: - Episode: 199/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:11 - r - INFO: - Episode: 200/1600, Reward: 40.00, Steps:40
2022-10-30 01:21:11 - r - INFO: - Episode: 201/1600, Reward: 60.00, Steps:60
2022-10-30 01:21:11 - r - INFO: - Episode: 202/1600, Reward: 18.00, Steps:18
2022-10-30 01:21:11 - r - INFO: - Episode: 203/1600, Reward: 38.00, Steps:38
2022-10-30 01:21:11 - r - INFO: - Episode: 204/1600, Reward: 18.00, Steps:18
2022-10-30 01:21:11 - r - INFO: - Episode: 205/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:11 - r - INFO: - Episode: 206/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:11 - r - INFO: - Episode: 207/1600, Reward: 36.00, Steps:36
